trainNumber,trainDirection,trainColorType,carsOfTrain,doorsOfCar,destStationName,depTime,depRow,arrTime,arrRow
911,0,sig,3,1,‰Ô”¨,13:04,1,13:10,13
910,1,ous,4,4,•Ÿ‰ª,13:04,13,13:10,1
